id,TCGA-DD-AACL_StageI,TCGA-WJ-A86L_StageI,TCGA-EP-A2KC_StageI,TCGA-K7-A5RF_StageI,TCGA-G3-AAUZ_StageI,TCGA-DD-AAD1_StageI,TCGA-BD-A3EP_StageI,TCGA-DD-AAE6_StageI,TCGA-DD-AADJ_StageI,TCGA-DD-AAVZ_StageI,TCGA-2Y-A9GX_StageI,TCGA-DD-A1EG_StageI,TCGA-DD-AAE2_StageI,TCGA-XR-A8TC_StageI,TCGA-FV-A2QR_StageI,TCGA-DD-AAD2_StageI,TCGA-FV-A2QQ_StageI,TCGA-K7-A6G5_StageI,TCGA-DD-A4NN_StageI,TCGA-2Y-A9HB_StageI,TCGA-ED-A7PX_StageII,TCGA-DD-AACH_StageII,TCGA-ZS-A9CD_StageII,TCGA-5R-AA1C_StageII,TCGA-FV-A3I0_StageII,TCGA-ED-A5KG_StageII,TCGA-CC-5258_StageII,TCGA-DD-AAVU_StageII,TCGA-4R-AA8I_StageII,TCGA-KR-A7K7_StageII,TCGA-K7-AAU7_StageII,TCGA-5C-A9VG_StageII,TCGA-UB-A7MA_StageII,TCGA-CC-A9FS_StageII,TCGA-DD-A1EH_StageIII,TCGA-DD-A39W_StageIII,TCGA-CC-A7IE_StageIII,TCGA-BC-4073_StageIII,TCGA-CC-A7IH_StageIII,TCGA-CC-A3MA_StageIII,TCGA-BC-A216_StageIII,TCGA-CC-A7II_StageIII,TCGA-ED-A82E_StageIII,TCGA-LG-A9QD_StageIII,TCGA-DD-A4NE_StageIII,TCGA-G3-A25T_StageIII,TCGA-ED-A7XO_StageIII,TCGA-BW-A5NP_StageIV,TCGA-DD-A119_StageIV,TCGA-DD-A1EK_StageIV
LINC02082,1.24156,0.636973,0.389312,0.379001,0.368568,0.358322,1.04737,0.716821,0.693958,0.347782,0.843392,0.67318,0.337279,0.326433,0.315289,0.399621,0.770886,0.290055,0.590203,0.275975,0.261445,0.954474,0.654249,0.245435,0.228013,0.207336,0.562733,0.18062,0.14017,0.620653,0.803987,0.302854,0.537511,0.514144,0.503,0.605151,0.491665,0.576442,0.460328,0.450064,0.891176,0.742137,0.40952,0.481051,0.419501,0.430005,0.440182,0.470334,0.549614,0.525674
ST8SIA5-DT,0.460328,0.440182,0.430005,0.419501,0.40952,0.399621,0.389312,0.379001,0.368568,0.358322,0.347782,0.337279,0.450064,0.315289,0.302854,0.954474,0.290055,0.275975,0.261445,1.04737,0.742137,0.245435,0.228013,0.207336,0.18062,0.803987,0.14017,0.326433,0.770886,0.481051,0.891176,0.716821,0.514144,0.693958,0.562733,0.576442,0.605151,0.67318,0.636973,0.654249,0.590203,1.24156,0.549614,0.537511,0.525674,0.503,0.843392,0.491665,0.470334,0.620653
RAB4B,0.891176,0.716821,0.460328,0.347782,0.636973,0.419501,0.843392,0.605151,0.549614,0.358322,0.326433,0.470334,0.228013,0.389312,0.440182,0.261445,0.742137,0.491665,0.537511,0.620653,0.654249,0.368568,0.503,0.18062,0.770886,0.803987,0.14017,0.693958,0.40952,1.04737,0.514144,0.315289,0.430005,0.562733,0.275975,0.302854,0.379001,0.337279,0.290055,0.207336,0.525674,1.24156,0.590203,0.67318,0.245435,0.576442,0.481051,0.450064,0.954474,0.399621
TIGAR,0.481051,0.419501,0.290055,0.315289,0.14017,0.549614,0.654249,0.207336,0.261445,0.576442,0.525674,0.605151,0.590203,0.347782,0.843392,0.537511,0.770886,0.440182,0.460328,0.337279,1.24156,0.503,0.450064,0.954474,0.379001,1.04737,0.326433,0.18062,0.491665,0.368568,0.470334,0.693958,0.302854,0.716821,0.891176,0.620653,0.275975,0.803987,0.228013,0.562733,0.245435,0.636973,0.40952,0.389312,0.430005,0.742137,0.514144,0.358322,0.399621,0.67318
RNF44,0.654249,0.693958,0.549614,0.245435,0.14017,0.716821,0.481051,0.368568,0.261445,0.450064,0.491665,0.503,0.358322,0.576442,0.315289,0.40952,0.419501,0.228013,0.470334,0.460328,1.04737,0.770886,0.275975,0.326433,0.891176,0.954474,0.636973,0.207336,0.337279,0.389312,0.803987,0.742137,0.67318,0.430005,0.525674,0.620653,0.562733,0.514144,0.399621,1.24156,0.440182,0.605151,0.843392,0.302854,0.347782,0.590203,0.379001,0.537511,0.18062,0.290055
DNAH3,0.636973,0.803987,0.525674,0.470334,0.419501,0.549614,0.514144,0.326433,0.620653,0.14017,0.40952,0.245435,0.716821,0.440182,0.290055,0.450064,0.379001,0.275975,0.18062,0.261445,0.491665,1.04737,0.430005,0.207336,0.605151,0.891176,0.399621,0.228013,0.742137,0.654249,0.770886,0.537511,0.843392,0.389312,0.460328,0.368568,0.590203,1.24156,0.481051,0.315289,0.67318,0.562733,0.954474,0.337279,0.503,0.347782,0.576442,0.358322,0.302854,0.693958
RPL23A,7.56848,6.37335,7.01788,5.4734,7.94272,6.62637,6.5829,6.6125,7.1877,6.66751,6.19035,6.19168,6.28489,6.47977,5.52984,6.21294,6.22278,5.84284,7.29233,6.09622,6.5666,6.19283,6.31099,5.83002,7.34485,7.78276,7.38748,8.75794,5.82999,7.81931,6.69515,7.33777,8.05576,5.84915,6.81505,6.29773,8.11535,6.46366,5.9587,7.06269,6.33249,9.03512,6.73758,5.72119,6.19359,7.89283,6.50385,7.9381,7.1645,5.47212
EHD4-AS1,0.245435,1.24156,0.491665,0.18062,0.430005,0.389312,0.576442,0.368568,0.514144,0.67318,0.358322,1.04737,0.302854,0.503,0.843392,0.481051,0.636973,0.693958,0.207336,0.347782,0.470334,0.549614,0.770886,0.440182,0.537511,0.379001,0.525674,0.654249,0.891176,0.261445,0.620653,0.419501,0.460328,0.954474,0.716821,0.290055,0.275975,0.450064,0.326433,0.40952,0.562733,0.228013,0.742137,0.315289,0.803987,0.399621,0.605151,0.337279,0.590203,0.14017
RPL7L1P12,0.18062,0.440182,0.430005,0.419501,0.40952,0.399621,0.389312,0.891176,0.379001,0.954474,0.368568,0.358322,0.803987,0.347782,0.337279,0.450064,0.315289,0.302854,0.290055,0.843392,0.275975,0.261445,0.245435,0.228013,0.207336,0.549614,0.14017,0.326433,0.742137,0.716821,0.693958,0.67318,0.654249,0.636973,0.620653,0.605151,0.590203,1.04737,0.576442,0.562733,0.770886,0.537511,1.24156,0.525674,0.514144,0.503,0.491665,0.481051,0.470334,0.460328
ARL8B,1.04737,0.891176,0.491665,0.315289,0.245435,0.636973,0.549614,1.24156,0.302854,0.562733,0.620653,0.693958,0.450064,0.228013,0.40952,0.326433,0.481051,0.379001,0.503,0.347782,0.514144,0.605151,0.440182,5.04821,0.399621,0.803987,0.576442,0.275975,0.843392,0.290055,0.716821,0.430005,0.419501,0.537511,0.67318,0.368568,0.742137,0.954474,0.389312,0.358322,0.460328,0.207336,0.590203,0.261445,0.470334,0.770886,0.337279,5.04738,0.525674,0.654249
CALB2,0.67318,0.14017,0.450064,0.491665,0.399621,0.537511,0.716821,0.261445,0.275975,0.514144,0.620653,0.525674,0.302854,0.337279,0.290055,0.430005,0.245435,0.368568,0.460328,0.470334,0.843392,0.770886,0.576442,0.590203,0.693958,0.891176,0.207336,0.389312,0.228013,0.549614,1.04737,0.803987,0.40952,0.379001,0.503,0.347782,0.419501,0.636973,0.440182,1.24156,0.326433,0.654249,0.742137,0.315289,0.481051,0.954474,0.605151,0.18062,0.358322,0.562733
MFSD3,0.514144,0.693958,1.24156,0.549614,5.4859,5.41882,0.562733,0.742137,0.770886,1.04737,0.491665,5.60196,0.537511,0.891176,0.525674,5.17005,6.43211,5.5406,5.02852,0.419501,0.430005,0.590203,6.54679,0.450064,0.470334,0.440182,5.32707,6.52067,0.843392,5.12877,5.42291,5.53935,0.40952,5.76457,0.503,0.460328,0.605151,0.399621,0.803987,0.481051,0.636973,6.89795,0.954474,0.654249,0.576442,5.19609,0.716821,0.620653,7.0124,0.67318
LINC00636,1.24156,0.419501,0.40952,0.891176,0.399621,0.954474,0.716821,0.389312,0.770886,0.379001,0.803987,0.67318,0.368568,0.358322,0.347782,0.337279,0.326433,0.430005,0.693958,0.302854,0.290055,0.275975,0.261445,0.245435,0.228013,0.514144,0.207336,0.18062,0.14017,0.315289,0.742137,0.590203,0.605151,0.654249,0.636973,0.620653,1.04737,0.576442,0.562733,0.537511,0.525674,0.843392,0.549614,0.503,0.491665,0.481051,0.470334,0.460328,0.450064,0.440182
PIGV,0.440182,0.654249,0.742137,0.891176,0.514144,0.460328,0.419501,1.24156,0.326433,0.347782,0.389312,0.302854,0.954474,0.207336,0.470334,0.620653,0.261445,0.636973,0.245435,0.693958,0.430005,0.576442,0.399621,1.04737,0.228013,0.549614,0.525674,0.503,0.843392,0.358322,0.562733,0.368568,0.315289,0.14017,0.337279,0.770886,0.290055,0.491665,0.803987,0.40952,0.605151,0.18062,0.537511,0.590203,0.450064,0.716821,0.67318,0.275975,0.379001,0.481051
ECE1-AS1,0.470334,0.358322,0.419501,0.590203,0.368568,1.04737,0.891176,0.481051,0.40952,0.347782,0.803987,0.228013,0.67318,0.605151,0.460328,0.576442,0.450064,0.302854,0.430005,0.562733,0.742137,0.537511,0.514144,0.245435,0.337279,1.24156,0.503,0.261445,0.379001,0.315289,0.716821,0.620653,0.654249,0.326433,0.491665,0.290055,0.843392,0.693958,0.275975,0.770886,0.440182,0.525674,0.636973,0.549614,0.207336,0.954474,0.399621,0.18062,0.14017,0.389312
ZNF708,0.620653,0.525674,0.419501,0.326433,0.18062,0.693958,0.562733,0.399621,0.302854,0.590203,0.549614,0.358322,0.450064,0.742137,0.347782,0.389312,0.315289,0.207336,0.843392,0.460328,0.636973,0.470334,0.14017,0.337279,0.654249,1.24156,0.514144,0.290055,0.576442,0.275975,0.716821,0.503,1.04737,0.379001,0.770886,0.40952,0.481051,0.803987,0.440182,0.891176,0.605151,0.537511,0.67318,0.261445,0.430005,0.491665,0.368568,0.954474,0.245435,0.228013
LINC01224,1.04737,0.525674,0.440182,0.326433,0.18062,0.450064,0.40952,0.891176,0.605151,0.590203,0.430005,0.419501,0.491665,0.716821,0.576442,0.503,0.537511,0.207336,0.302854,0.315289,0.514144,0.803987,0.347782,0.481051,0.261445,0.379001,0.843392,0.470334,0.654249,0.460328,0.368568,0.275975,1.24156,0.770886,0.549614,0.399621,0.693958,0.620653,0.358322,0.389312,0.742137,0.954474,0.245435,0.228013,0.636973,0.290055,0.562733,0.67318,0.14017,0.337279
MYADML2,0.605151,0.576442,0.537511,0.347782,0.326433,0.636973,0.620653,0.491665,0.275975,0.261445,0.481051,0.399621,0.654249,0.18062,0.228013,0.315289,0.379001,0.368568,0.716821,0.460328,0.440182,1.04737,0.290055,0.245435,0.891176,0.207336,0.803987,0.430005,0.14017,0.419501,0.525674,0.562733,0.514144,0.843392,0.389312,0.40952,0.450064,0.503,0.954474,0.549614,0.742137,1.24156,0.590203,0.302854,0.470334,0.693958,0.337279,0.770886,0.358322,0.67318
DNM3-IT1,0.40952,0.389312,0.379001,0.368568,0.358322,0.347782,0.337279,0.326433,0.654249,0.315289,0.576442,0.399621,0.290055,0.843392,0.275975,0.261445,0.245435,0.228013,1.24156,0.514144,0.620653,0.207336,1.04737,0.18062,0.891176,0.770886,0.14017,0.590203,0.742137,0.562733,0.302854,0.954474,0.605151,0.481051,0.67318,0.525674,0.636973,0.491665,0.693958,0.460328,0.503,0.537511,0.450064,0.440182,0.549614,0.430005,0.803987,0.716821,0.419501,0.470334
PHEX,0.576442,1.04737,0.358322,0.379001,0.245435,0.481051,0.514144,0.18062,0.347782,0.399621,0.636973,0.620653,0.419501,0.40952,0.228013,0.368568,0.562733,0.389312,0.261445,0.460328,0.954474,0.450064,0.470334,0.503,0.742137,0.716821,0.491665,0.207336,0.803987,0.605151,0.891176,0.290055,0.537511,0.693958,0.440182,0.275975,0.430005,0.654249,0.302854,0.67318,0.525674,0.590203,0.843392,0.315289,0.549614,0.770886,0.14017,0.326433,0.337279,1.24156
KRT8P47,0.337279,0.460328,0.450064,0.440182,0.430005,0.419501,0.40952,0.399621,0.389312,0.379001,0.368568,0.358322,0.347782,0.470334,0.326433,0.315289,0.302854,0.290055,0.275975,0.261445,0.245435,0.228013,0.207336,0.18062,0.14017,0.605151,1.04737,0.891176,0.843392,0.803987,0.770886,0.742137,0.716821,0.693958,0.67318,0.654249,0.636973,0.620653,0.954474,0.590203,0.576442,1.24156,0.562733,0.549614,0.537511,0.525674,0.514144,0.503,0.491665,0.481051
MOGAT2,0.399621,0.843392,0.481051,1.04737,1.24156,0.358322,0.491665,0.562733,0.430005,0.450064,0.620653,0.590203,5.27306,0.514144,0.770886,0.67318,0.525674,0.891176,0.537511,0.954474,0.245435,0.302854,0.549614,0.379001,0.228013,0.470334,0.337279,0.368568,0.716821,0.440182,0.460328,0.326433,0.18062,0.347782,0.261445,0.389312,0.315289,0.290055,0.576442,0.503,0.605151,0.275975,0.207336,0.654249,0.742137,0.419501,0.803987,0.40952,0.636973,0.693958
