ID	TCGA_BC_A10Q_LIHC_NT	TCGA_BC_A10T_LIHC_NT	TCGA_BC_A10W_LIHC_NT	TCGA_2V_A95S_LIHC_TP	TCGA_2Y_A9GS_LIHC_TP	TCGA_2Y_A9GU_LIHC_TP	TCGA_A7_A0CE_BRCA_NT	TCGA_A7_A0CH_BRCA_NT	TCGA_A7_A0D9_BRCA_NT	TCGA_3C_AAAU_BRCA_TP	TCGA_3C_AALJ_BRCA_TP	TCGA_3C_AALK_BRCA_TP
ENSG00000121410	124518.23	68949.58	100619.73	34197.7	45940.47	11176.18	154.473	109.3484	15.7841	197.0897	423.2366	191.0178
ENSG00000148584	2969	1964	2824	895	3191	1501	0.6349	0	0	0	0.9066	0
ENSG00000078328	0	0	0	0	5	0	0.6349	3.7612	0.5092	0	0	0
ENSG00000134864	427.02	228.29	320.22	575.3	200.11	3492.56	119.581	111.9699	105.5041	102.9634	161.2602	62.5072
ENSG00000166535	3	0	1	0	0	2	16.8254	19.5581	22.9124	1.3786	0	1.6549
ENSG00000175899	118972.53	211710.65	134129.62	439428.37	63240.79	292445.68	40198.2063	32634.9299	44700.9521	5798.3746	8840.3989	10960.2193
ENSG00000128274	68	156	108	123	330	86	627.3016	924.1185	542.7699	68.2424	573.8894	506.4129
ENSG00000118017	1	6	1	833	4	0	1.9048	0.3761	19.3483	8.6165	0	0
ENSG00000197085	0	0	0	1	1	0	0	0.3761	0	0.3447	0	0
ENSG00000094914	670	499	738	1583	1831	865	780	815.7969	595.723	649.3372	723.4814	776.9963
ENSG00000250420	0	0	0	0	0	0	1.2698	0	0	1.3786	2.7199	0
ENSG00000081760	166	122	254	855	873	846	1132.0635	2177.7151	710.7943	1087.3986	1533.0916	858.0885
ENSG00000197953	0	0	0	0	1	0	1.2698	5.6417	7.6375	0	1.8132	0
ENSG00000188984	0	0	0	2093	21030	8130	5.0794	34.9788	6.11	0	0.9066	2.8962
ENSG00000204518	1	0	0	38	316	43	0	1.5045	0	5.5145	53.4905	57.0956
ENSG00000114771	12209	9501	14665	1639	2146	472	19.6825	101.9276	619.1446	1300.3977	1360.8341	1683.4919
ENSG00000109576	1769	1000	1174	1058	1098	1879	58.7302	250.8698	78.9206	517.3329	568.4497	727.7617
ENSG00000103591	546	520	705	4921	6386	2084	1448.8889	1077.9502	673.6253	2053.1326	2291.9311	2762.5155
ENSG00000115977	448	352	563	0	2	0	966.9841	828.5849	1032.0774	0.3447	1.8132	0.4137
ENSG00000127837	2776	2141	3263	522	1381.89	590.8	2770.7937	2588.0583	1977.5967	689.8967	439.7099	431.9363
ENSG00000129673	0	0	0	1301	1795	553	0.3175	0.3761	0	466.668	390.7525	493.5871
ENSG00000124608	313	178.89	337.99	10779	17236	7094	485.0413	349.5477	225.555	4409.565	2556.6636	2122.8796
ENSG00000266967	644	539	757	1879	1981	896	692.6984	574.33	478.6151	808.9143	779.6917	665.2875
ENSG00000090861	4067	3723	3751	221	323	220	3063.1746	3213.9163	3248.4725	277.4504	190.3898	196.5246
ENSG00000149313	998.91	1060	1132	73	912	1665	655.5016	662.3413	599.2872	45.8396	76.1559	183.2851
ENSG00000157426	149	161	216	2366	4062	988	314.9206	256.1354	315.1731	1518.9114	2097.9148	1915.1841
ENSG00000008311	3510	1631	3618	94	34	16	592.6984	347.5317	664.4603	619.5932	145.0589	119.9835
ENSG00000275700	823	774	1212	2355	22765	11593	1138.7302	1040.7146	1019.8574	620.7305	375.34	1721.5556
ENSG00000181409	29	27	64	237	44	65.02	91.746	43.6483	30.0407	16.2334	27.1985	23.583
ENSG00000183044	26402	20364	16433	99.73	44.99	130.43	1226.3492	619.464	224.5418	79.1509	156.0199	137.3231
ENSG00000154263	168	20	88	0	2	0	164.127	244.0997	244.3992	321.222	0	1430.6992
ENSG00000251595	52.51	48.48	34.03	0	37	4	151.2349	93.1453	89.2159	0	0.9066	2.4824
ENSG00000144452	5	0	7	2	4	8	194.9206	280.583	4.5825	17.9223	12.6927	9.1022
ENSG00000179869	5	5	7	1765	2532.92	2094.93	8.5714	3.385	9.6741	288.4622	689.8821	749.2635
ENSG00000238098	0	4	0	2575	2283	294	11.1111	6.7701	4.5825	4507.4481	3208.5222	1375.2586
ENSG00000165029	4128.99	3677	2829.95	142	150	541	719.9524	1714.2793	3383.7984	5470.7695	1514.0526	968.5561
ENSG00000107331	1489	583	1747	167	101	16	1164.7619	1581.5703	1626.2729	3.7912	1.8132	73.2313
ENSG00000167972	124	58	88	1870	2188	1520.98	1494.9206	1934.7438	933.8086	795.0934	559.3835	412.0811
ENSG00000198691	23	11	26	808	5642	1206	153.6508	39.8684	7.6375	23.0921	81.5956	78.1961
ENSG00000154265	940	878	679	741	421	469	626.6667	602.5388	943.9919	596.9491	383.4995	465.8668
ENSG00000154262	4884	2750	2951	6	1633	1788	335.5556	524.3065	1182.7902	58.592	52.5839	213.4878
ENSG00000064687	123	31	297	350	178	778	387.9365	479.5487	205.7026	37.5678	54.3971	70.3351
ENSG00000141338	1480	1074	1584	1100	1825	1581	773.3333	1976.8688	5814.664	532.8425	278.3318	411.6674
ENSG00000154258	316	93	182	1	4728	188	396.1905	1042.5952	2514.7658	0	0.9066	1.6549
ENSG00000135776	889	634	543	3158	5473	30	256.1905	325.717	374.7454	27.9174	21.7588	107.1576
ENSG00000073734	1858	694	819	246	8058	1732	1.5873	2.2567	18.8391	14.4757	15.4125	11.5846
ENSG00000085563	1407	1450	2711	189	4	0	468.254	152.7033	206.2118	0.3447	4.5331	1.2412
ENSG00000005471	4589	2077	7374	2602.36	3848.68	1022.61	21.9048	22.9431	64.1548	839.0443	640.9429	623.2768
ENSG00000004846	0	0	0	520	1537	719	96.8254	136.5303	56.0081	607.6335	143.2457	354.5718
ENSG00000115657	1290.6	995.54	1435.34	1760	2706	1880	442.2286	839.3907	715.3106	1310.7375	659.1115	952.8341
ENSG00000131269	594	424	608	133.03	336.05	219.77	519.0476	521.2976	606.9246	285.9496	269.6464	151.4233
ENSG00000197150	1034	542	995	621	711	748	571.1111	608.5567	391.5479	830.9724	564.8232	700.4551
ENSG00000150967	27	6	13	32	796	88	103.9873	109.149	48.2841	92.0239	0.9066	2210.1779
ENSG00000124574	105	81	130	0	6	1	365.3968	310.6723	216.9043	0	0	93.9181
ENSG00000121270	246	88	76	2	1	4	439.0476	2872.4024	3.5642	0	109.7008	61.2329
ENSG00000140798	0	0	1	339	886	160	3.4921	27.8326	0	1573.3675	1601.0879	1262.3086
ENSG00000243064	0	0	0	4653	9537	7815	0	2.2567	0	5.1699	5.4397	17.3769
ENSG00000103222	105	187	298	4784	19774	6459	923.4921	1428.8669	1453.666	110.2908	144.1523	1427.3893
ENSG00000023839	5679	3062	4991	95	620	308	9.2063	70.3338	46.334	28.6067	123.3001	439.3877
ENSG00000108846	6309	2726	3943	400	1436	301	644.7619	1081.7113	199.5927	740.3272	3300.9973	1319.818
ENSG00000125257	52	46	119	294	841	1130	138.0952	200.094	113.5438	6.5485	1.8132	0.8275
ENSG00000114770	158	97	237	327	344	1076	739.6825	668.7353	592.1589	40.6697	3.6265	3.3099
ENSG00000256340	946	285	751	2094	7376	9817	6.3492	18.8058	12.7291	158.1984	18.1324	11.1709
